date,order_count
2023-01-01,122
2023-01-02,116
2023-01-03,104
2023-01-04,109
2023-01-05,127
2023-01-06,108
2023-01-07,115
2023-01-08,113
2023-01-09,120
2023-01-10,114
2023-01-11,100
2023-01-12,101
2023-01-13,113
2023-01-14,105
2023-01-15,117
2023-01-16,116
2023-01-17,113
2023-01-18,104
2023-01-19,119
2023-01-20,101
2023-01-21,117
2023-01-22,122
2023-01-23,104
2023-01-24,116
2023-01-25,102
2023-01-26,109
2023-01-27,123
2023-01-28,92
2023-01-29,90
2023-01-30,114
2023-01-31,109
2023-02-01,112
2023-02-02,122
2023-02-03,108
2023-02-04,106
2023-02-05,108
2023-02-06,122
2023-02-07,111
2023-02-08,104
2023-02-09,121
2023-02-10,112
2023-02-11,119
2023-02-12,112
2023-02-13,109
2023-02-14,105
2023-02-15,93
2023-02-16,115
2023-02-17,101
2023-02-18,120
2023-02-19,118
2023-02-20,102
2023-02-21,98
2023-02-22,111
2023-02-23,109
2023-02-24,113
2023-02-25,112
2023-02-26,96
2023-02-27,126
2023-02-28,101
2023-03-01,103
2023-03-02,123
2023-03-03,110
2023-03-04,102
2023-03-05,95
2023-03-06,121
2023-03-07,126
2023-03-08,97
2023-03-09,125
2023-03-10,113
2023-03-11,109
2023-03-12,122
2023-03-13,112
2023-03-14,109
2023-03-15,108
2023-03-16,91
2023-03-17,110
2023-03-18,115
2023-03-19,97
2023-03-20,116
2023-03-21,118
2023-03-22,110
2023-03-23,99
2023-03-24,108
2023-03-25,122
2023-03-26,130
2023-03-27,114
2023-03-28,111
2023-03-29,108
2023-03-30,126
2023-03-31,105
2023-04-01,115
2023-04-02,95
2023-04-03,109
2023-04-04,117
2023-04-05,116
2023-04-06,112
2023-04-07,127
2023-04-08,102
2023-04-09,97
2023-04-10,105
2023-04-11,112
2023-04-12,126
2023-04-13,114
2023-04-14,105
2023-04-15,100
2023-04-16,116
2023-04-17,115
2023-04-18,108
2023-04-19,113
2023-04-20,115
2023-04-21,100
2023-04-22,113
2023-04-23,117
2023-04-24,104
2023-04-25,107
2023-04-26,119
2023-04-27,95
2023-04-28,102
2023-04-29,115
2023-04-30,116
2023-05-01,111
2023-05-02,105
2023-05-03,116
2023-05-04,109
2023-05-05,103
2023-05-06,123
2023-05-07,115
2023-05-08,101
2023-05-09,116
2023-05-10,102
2023-05-11,98
2023-05-12,121
2023-05-13,125
2023-05-14,99
2023-05-15,110
2023-05-16,113
2023-05-17,105
2023-05-18,104
2023-05-19,91
2023-05-20,103
2023-05-21,115
2023-05-22,101
2023-05-23,113
2023-05-24,115
2023-05-25,94
2023-05-26,125
2023-05-27,107
2023-05-28,113
2023-05-29,99
2023-05-30,114
2023-05-31,114
2023-06-01,112
2023-06-02,127
2023-06-03,110
2023-06-04,99
2023-06-05,110
2023-06-06,104
2023-06-07,103
2023-06-08,104
2023-06-09,124
2023-06-10,118
2023-06-11,98
2023-06-12,100
2023-06-13,111
2023-06-14,111
2023-06-15,129
2023-06-16,103
2023-06-17,106
2023-06-18,101
2023-06-19,115
2023-06-20,107
2023-06-21,100
2023-06-22,105
2023-06-23,118
2023-06-24,116
2023-06-25,111
2023-06-26,108
2023-06-27,125
2023-06-28,117
2023-06-29,107
2023-06-30,115
2023-07-01,107
2023-07-02,99
2023-07-03,102
2023-07-04,110
2023-07-05,100
2023-07-06,103
2023-07-07,124
2023-07-08,125
2023-07-09,101
2023-07-10,118
2023-07-11,103
2023-07-12,104
2023-07-13,116
2023-07-14,104
2023-07-15,121
2023-07-16,129
2023-07-17,102
2023-07-18,114
2023-07-19,108
2023-07-20,116
2023-07-21,95
2023-07-22,106
2023-07-23,122
2023-07-24,121
2023-07-25,112
2023-07-26,109
2023-07-27,113
2023-07-28,110
